,Words,Bee_Type,Wordnet_Type
389,reluctant,adjective,noun
390,heritage,noun,noun
391,sojourner,noun,noun
392,derogatory,adjective,noun
393,palsy,noun,noun
394,Lascaux,geographical,noun
395,synesthesia,noun,noun
396,synaesthesia,noun,noun
397,nefarious,adjective,noun
398,halogens,plural,noun
399,gallium,noun,noun
400,smelters,plural,noun
401,hymnal,noun,noun
402,tartaric,adjective,adjective
403,bindi,noun,subject
404,Haitian,adjective,noun
405,divan,noun,noun
406,badminton,noun,noun
407,bayonet,noun,noun
408,currycomb,noun,noun
409,haughty,adjective,noun
410,hesitate,verb,verb
411,opportunity,noun,noun
412,Apollo,noun,noun
413,accordance,noun,noun
414,atmospheric,adjective,adjective
415,levees,plural,noun
416,precariously,adverb,adverb
417,proportionate,adjective,adjective
418,suffused,verb,verb
419,accelerates,verb,verb
420,coincidence,noun,noun
421,prestigious,adjective,noun
422,emphatic,adjective,noun
423,contaminated,verb,verb
424,Madagascar,geographical,noun
425,exposure,noun,noun
426,parachuted,verb,verb
427,periodically,adverb,adverb
428,intriguing,adjective,verb
429,absorptive,adjective,adjective
430,incomprehensible,adjective,adjective
431,Merrimack,geographical,noun
432,Sinai,geographical,noun
433,misdemeanor,noun,noun
434,misdemeanour,noun,noun
435,asparagus,noun,noun
436,solace,verb,noun
437,argyria,noun,subject
438,guanine,noun,noun
439,xylyl,noun,subject
440,therapeutic,adjective,noun
441,tumultuous,adjective,noun
442,commodore,noun,noun
443,playwright,noun,noun
444,senile,adjective,noun
445,laryngitis,noun,noun
446,proximo,adjective,noun
447,guerrilla,noun,noun
448,guerilla,noun,noun
449,Giza,geographical,noun
450,fixity,noun,noun
451,jodhpurs,plural,noun
452,hydrargyrum,noun,noun
453,carborane,noun,subject
454,denouncement,noun,noun
455,Columbia,noun,noun
