,Words,Type,Description
156,teak,"(noun) the hard, strong, durable, yellowish brown wood of a tall East Indian",
,,timber tree which is highly resistant to insect attack and warping and is,
,,used for shipbuilding.,
157,transit,"(noun) the public transportation of people by bus, subway train or other local",
,,system of conveyance.,
158,cannonade,(noun) a noisy persistent attack (as of questions).,
159,appetite,(noun) the desire to eat when food is available.,
160,luggage,"(noun) suitcases, bags used for travel or other articles used to carry a",
,,traveler's belongings.,
161,ramparts,(plural noun) protective barriers.,
162,vinyl,(noun) any of a group of tough durable plastics based on resins that are used,
,,"especially in the forming of films and sheeting, flooring, and sound",
,,records.,
163,anemometers,(plural noun) tools used to gauge the speed of the wind.,
164,dainty,(adjective) characterized by beauty that is delicate in nature.,
165,buckle,(verb) to secure two loose ends of something (such as a belt) with one end,
,,having a fastening and the other a catch.,
166,vividly,"(adverb) intensely, sharply, keenly.",
167,briny,(adjective) salty.,
168,pavement,(noun) the surface of a public thoroughfare which is artificially covered.,
169,garnet,(noun) a brittle material which is typically red in color and occurs mainly in,
,,crystals.,
170,furrow,(verb) to cultivate or till as if with a plow.,
171,sprawl,(verb) to lie or sit with arms and legs stretched out : to spread out.,
172,museum,"(noun) a building or institution which is devoted to the gathering, care, study",
,,and display of objects of lasting interest and value.,
173,wren,(noun) any of various small brown singing birds.,
174,legend,(noun) someone having a special status as a result of possessing extraordinary,
,,qualities that are typically partly real and partly mythical.,
175,transistor,(noun) an electronic device made of a small block of a semiconductor with,
,,three electrodes on it and that conducts electrons moving in one,
,,direction to the opposite direction.,
176,amplify,"(verb) to expand, extend or enlarge a statement or idea by adding details or",
,,illustration.,
177,security,"(noun) freedom from care, anxiety or fear.",
178,refrain,(noun) a phrase or verse that recurs regularly typically within a poem or song.,
179,tactics,(plural noun) methods : systems of procedure.,
180,shepherd,"(noun) a man employed in tending, feeding and guarding sheep.",
181,Angus,(noun) any of a breed of hornless black or red beef cattle originally from,
,,Scotland.,
182,mulish,"(adjective) stubborn, inflexible or uncompromising.",
183,rivalry,(noun) competition.,
184,siblings,(plural noun) two or more people with the same parents.,
185,chestnut,(noun) any of a genus of deciduous trees or shrubs native to temperate,
,,regions of the northern hemisphere that have a fruit consisting of a,
,,single nut.,
186,minivan,(noun) a small multipurpose vehicle with rear or side doors and side panels,
,,with windows that is used to transport passengers.,
187,plaid,(adjective) having a cross-barred multicolored pattern.,
188,tissue,(noun) an aggregate of cells together with their intercellular substance that,
,,form one of the structural materials out of which the body of a plant or,
,,an animal is made.,
189,scoundrel,(noun) a bold selfish person who is equipped with low ethical standards.,
190,amino,(adjective) relating to or containing the group NH2 united to a radical other than,
,,an acid radical.,
191,menthol,(noun) an alcohol that occurs naturally in peppermint oil and Japanese mint,
,,oil and can be made artificially.,
192,Tabasco,(trademark) � used for a condiment sauce made from capsicum berries.,
193,obvious,(adjective) easily perceived by the mind.,
194,pulse,(noun) a regular wave of distension in the arteries that is a result of blood,
,,progressing through an artery at each contraction of the ventricles of,
,,the heart.,
195,cottage,(noun) a small house typically used in the summer.,
196,garland,(noun) a wreath of leaves or flowers that is worn on the head or used for,
,,decoration.,
197,gnaw,(verb) to bite or chew on with the teeth.,
198,comfort,(noun) enjoyment in physical or mental well-being.,
199,caroling,(verb) traveling outside in a group to sing Christmas songs on Christmas Eve.,
,OR carolling,,
200,foolishness,(noun) the state of lacking seriousness : folly.,
201,constellation,(noun) any of the 88 configurations of stars.,
202,sundering,(verb) breaking or forcing apart.,
203,juncture,(noun) a seam or joint.,
204,exploits,(verb) takes undue advantage of.,
205,rabble-rouser,(noun) a person who stirs up the masses of the people (such as to violence or,
,,hatred).,
206,profound,(adjective) hard to understand or comprehend.,
207,wreath,(noun) a crown or band of intertwined flowers or leaves worn or given as a,
,,mark of honor.,
208,profile,(noun) a representation of something in outline.,
209,untoward,(adjective) unfortunate or unlucky.,
210,memorial,(adjective) commemorative.,
211,industrial,"(adjective) of or belonging to a department of a craft, business or manufacture.",
212,barrier,(noun) an object or objects that serve to separate or keep items apart.,
213,gratingly,(adverb) with an irritating or harsh effect or sound.,
214,brayed,(verb) made a loud harsh cry � used of a donkey.,
215,Harlem,(geographical section of New York City in northern Manhattan that was a center of,
,,entry) African American culture in the 1920s.,
216,messenger,(noun) someone who delivers a written or oral communication : a courier.,
217,beacons,(plural noun) fires placed on a hill or tower that are used to communicate signals.,
218,generation,"(noun) development, rise.",
219,coverage,(noun) the amount of reporting given to a news event.,
220,deters,(verb) turns aside or discourages from acting.,
221,Nepal,(geographical landlocked country in Asia in the Himalayas on the northeast border of,
,,entry) India.,
222,disinfectant,(noun) a chemical that destroys vegetative forms of harmful microorganisms.,
223,campaign,(noun) a period of continuous and often competitive activity in any seasonal,
,,occupation or industry.,
224,starvation,(noun) the instance of suffering from extreme hunger.,
225,gamma,(noun) the third letter of the Greek alphabet.,
226,spleen,(noun) an abdominal organ that plays a role in the maintenance of blood,
,,"volume, the production of blood cells, the recovery of material from",
,,worn-out blood cells and the production of antibodies.,
227,utensils,(plural noun) tools or instruments used in a kitchen.,
228,depot,(noun) a bus station.,
229,incident,(noun) an uncommon happening.,
